Geneid,Length,Description
TRINITY_DN181110_c0_g1_i1,314,NA
TRINITY_DN126958_c0_g1_i1,314,NA
TRINITY_DN238587_c0_g1_i1,314,NA
TRINITY_DN257517_c0_g1_i1,314,NA
TRINITY_DN197648_c0_g4_i1,314,NA
TRINITY_DN189671_c3_g1_i1,314,NA
TRINITY_DN137990_c0_g1_i1,314,NA
TRINITY_DN278953_c0_g1_i1,314,NA
TRINITY_DN229588_c0_g1_i1,314,NA
TRINITY_DN260449_c0_g1_i1,314,NA
TRINITY_DN291025_c0_g1_i1,314,NA
TRINITY_DN98526_c0_g1_i1,314,NA
TRINITY_DN283688_c0_g1_i1,314,ATP-dependent Clp protease proteolytic subunit
TRINITY_DN222771_c0_g1_i1,314,NA
TRINITY_DN276409_c0_g1_i1,314,NA
TRINITY_DN292541_c0_g1_i1,314,NA
TRINITY_DN265175_c0_g1_i1,314,NA
TRINITY_DN192624_c8_g5_i1,314,NA
TRINITY_DN311435_c0_g1_i1,314,NA
TRINITY_DN183042_c6_g1_i1,314,NA
TRINITY_DN309190_c0_g1_i1,314,NA
TRINITY_DN198155_c0_g5_i1,314,NA
TRINITY_DN217092_c0_g1_i1,314,NA
TRINITY_DN268172_c0_g1_i1,314,NA
TRINITY_DN77277_c0_g1_i1,314,NA
TRINITY_DN260465_c0_g1_i1,314,NA
TRINITY_DN189760_c10_g1_i1,314,NA
TRINITY_DN283171_c0_g1_i1,314,NA
TRINITY_DN28258_c0_g1_i1,314,NA
TRINITY_DN175218_c0_g1_i1,314,NA
TRINITY_DN214537_c0_g3_i1,314,NA
TRINITY_DN269907_c0_g1_i1,314,NA
TRINITY_DN188212_c13_g1_i1,314,NA
TRINITY_DN101961_c0_g1_i1,314,NA
TRINITY_DN61689_c0_g2_i1,314,NA
TRINITY_DN65290_c0_g1_i1,314,Glutathione-independent formaldehyde dehydrogenase
TRINITY_DN249426_c0_g1_i1,314,NA
TRINITY_DN276005_c0_g1_i1,314,NA
TRINITY_DN247071_c0_g1_i1,314,NA
TRINITY_DN201598_c1_g1_i1,314,NA
TRINITY_DN221703_c0_g1_i1,314,NA
TRINITY_DN298809_c0_g1_i1,314,NA
TRINITY_DN220243_c0_g1_i1,314,NA
TRINITY_DN268447_c0_g1_i1,314,Protein zyg-11 homolog A
TRINITY_DN273475_c0_g1_i1,314,NA
TRINITY_DN192321_c11_g1_i1,314,LINE-1 retrotransposable element ORF2 protein
TRINITY_DN298825_c0_g1_i1,314,NA
TRINITY_DN292943_c0_g1_i1,314,Uncharacterized protein YlaK
TRINITY_DN205773_c1_g4_i1,314,NA
TRINITY_DN93844_c0_g1_i1,314,NA
TRINITY_DN147356_c0_g1_i1,314,NA
TRINITY_DN199299_c1_g2_i1,314,NA
TRINITY_DN305741_c0_g1_i1,314,Aldose 1-epimerase
TRINITY_DN272620_c0_g1_i1,314,NA
TRINITY_DN28302_c0_g1_i1,314,NA
TRINITY_DN197137_c1_g3_i1,314,UDP-glucuronic acid decarboxylase 4
TRINITY_DN279152_c0_g1_i1,314,NA
TRINITY_DN272270_c0_g1_i1,314,NA
TRINITY_DN242497_c0_g1_i1,314,NA
TRINITY_DN305190_c0_g1_i1,314,NA
TRINITY_DN257138_c0_g1_i1,314,NA
TRINITY_DN312756_c0_g1_i1,314,NA
TRINITY_DN188386_c7_g1_i1,314,NA
TRINITY_DN194550_c0_g1_i1,314,NA
TRINITY_DN235895_c0_g1_i1,314,NA
TRINITY_DN92008_c0_g2_i1,314,Coenzyme A biosynthesis bifunctional protein CoaBC
TRINITY_DN264841_c0_g1_i1,314,NA
TRINITY_DN275314_c0_g1_i1,314,NA
TRINITY_DN221772_c0_g1_i1,314,NA
TRINITY_DN253687_c0_g1_i1,314,NA
TRINITY_DN283724_c0_g1_i1,314,NA
TRINITY_DN176555_c0_g1_i1,314,NA
TRINITY_DN245342_c0_g1_i1,314,NA
TRINITY_DN205705_c0_g2_i1,314,NA
TRINITY_DN168172_c0_g1_i1,314,NA
TRINITY_DN302714_c0_g1_i1,314,NA
TRINITY_DN284990_c0_g1_i1,314,NA
TRINITY_DN309752_c0_g1_i1,314,NA
TRINITY_DN231794_c0_g1_i1,314,NA
TRINITY_DN305963_c0_g1_i1,314,NA
TRINITY_DN191143_c8_g3_i1,314,NA
TRINITY_DN139215_c0_g1_i1,314,NA
TRINITY_DN310710_c0_g1_i1,314,NA
TRINITY_DN310382_c0_g1_i1,314,NA
TRINITY_DN245385_c0_g1_i1,314,NA
TRINITY_DN189930_c7_g1_i1,314,NA
TRINITY_DN299165_c0_g1_i1,314,NA
TRINITY_DN207205_c0_g1_i1,313,NA
TRINITY_DN254970_c0_g1_i1,313,NA
TRINITY_DN172012_c0_g1_i1,313,NA
TRINITY_DN183233_c0_g2_i1,313,3-methylmercaptopropionyl-CoA dehydrogenase
TRINITY_DN190617_c0_g1_i1,313,LINE-1 retrotransposable element ORF2 protein
TRINITY_DN215208_c0_g4_i1,313,NA
TRINITY_DN262898_c0_g1_i1,313,NA
TRINITY_DN278124_c0_g1_i1,313,NA
TRINITY_DN307968_c0_g1_i1,313,Rotatin
TRINITY_DN203927_c0_g3_i1,313,NA
TRINITY_DN275779_c0_g1_i1,313,NA
TRINITY_DN253607_c0_g1_i1,313,NA
TRINITY_DN229901_c0_g1_i1,313,NA
TRINITY_DN217230_c2_g2_i1,313,NA
TRINITY_DN135579_c0_g1_i1,313,NA
TRINITY_DN259716_c0_g1_i1,313,NA
TRINITY_DN144714_c0_g2_i1,313,NA
TRINITY_DN189110_c21_g1_i1,313,NA
TRINITY_DN291062_c0_g1_i1,313,NA
TRINITY_DN82029_c0_g1_i1,313,NA
TRINITY_DN187342_c9_g1_i1,313,NA
TRINITY_DN309754_c0_g1_i1,313,SCL-interrupting locus protein
TRINITY_DN11978_c0_g1_i1,313,NA
TRINITY_DN207457_c1_g1_i1,313,NA
TRINITY_DN286888_c0_g1_i1,313,NA
TRINITY_DN251097_c0_g1_i1,313,NA
TRINITY_DN246625_c0_g1_i1,313,NA
TRINITY_DN284767_c0_g1_i1,313,NA
TRINITY_DN229295_c0_g1_i1,313,NA
TRINITY_DN246624_c0_g1_i1,313,NA
TRINITY_DN290581_c0_g1_i1,313,NA
TRINITY_DN197772_c2_g1_i1,313,NA
TRINITY_DN2170_c0_g1_i1,313,NA
TRINITY_DN192505_c0_g1_i1,313,NA
TRINITY_DN205983_c1_g2_i1,313,NA
TRINITY_DN238907_c0_g1_i1,313,NA
TRINITY_DN262149_c0_g1_i1,313,NA
TRINITY_DN257763_c0_g1_i1,313,Metalloprotease PmbA
TRINITY_DN251603_c0_g1_i1,313,NA
TRINITY_DN290785_c0_g1_i1,313,NA
TRINITY_DN214823_c0_g2_i1,313,NA
TRINITY_DN232255_c0_g1_i1,313,NA
TRINITY_DN188938_c13_g2_i1,313,NA
TRINITY_DN108064_c0_g1_i1,313,NA
TRINITY_DN272348_c0_g1_i1,313,NA
TRINITY_DN275056_c0_g1_i1,313,NA
TRINITY_DN85933_c0_g1_i1,313,NA
TRINITY_DN205179_c0_g4_i1,313,NA
TRINITY_DN172898_c1_g1_i1,313,Isocitrate dehydrogenase kinase/phosphatase
TRINITY_DN271927_c0_g1_i1,313,NA
TRINITY_DN204417_c0_g2_i1,313,NA
TRINITY_DN219075_c0_g1_i1,313,NA
TRINITY_DN170510_c0_g1_i1,313,C2H2 finger domain transcription factor sebA
TRINITY_DN148483_c0_g1_i1,313,NA
TRINITY_DN303687_c0_g1_i1,313,NA
TRINITY_DN193084_c9_g1_i1,313,NA
TRINITY_DN221156_c0_g1_i1,313,NA
TRINITY_DN242161_c0_g1_i1,313,S-formylglutathione hydrolase FrmB
TRINITY_DN236771_c0_g1_i1,313,NA
TRINITY_DN50299_c0_g1_i1,313,NA
TRINITY_DN78691_c0_g1_i1,313,NA
TRINITY_DN314032_c0_g1_i1,313,NA
TRINITY_DN235278_c0_g1_i1,313,NA
TRINITY_DN284945_c0_g1_i1,313,NA
TRINITY_DN314692_c0_g1_i1,313,NA
TRINITY_DN300753_c0_g1_i1,313,NA
TRINITY_DN307460_c0_g1_i1,313,NA
TRINITY_DN253574_c0_g1_i1,313,NA
TRINITY_DN261275_c0_g1_i1,313,IQ and AAA domain-containing protein 1
TRINITY_DN151548_c0_g2_i1,313,NA
TRINITY_DN168468_c0_g1_i1,313,NA
TRINITY_DN296632_c0_g1_i1,313,NA
TRINITY_DN251714_c0_g1_i1,313,NA
TRINITY_DN290098_c0_g1_i1,313,NA
TRINITY_DN199835_c1_g3_i1,313,NA
TRINITY_DN214188_c0_g1_i1,313,NA
TRINITY_DN228233_c0_g1_i1,313,NA
TRINITY_DN190053_c1_g1_i1,313,NA
TRINITY_DN109763_c0_g1_i1,313,NA
TRINITY_DN193992_c3_g1_i1,313,NA
TRINITY_DN240022_c0_g1_i1,313,NA
TRINITY_DN289336_c0_g1_i1,313,NA
TRINITY_DN232050_c0_g1_i1,313,NA
TRINITY_DN300930_c0_g1_i1,313,NA
TRINITY_DN216905_c0_g1_i1,313,NA
TRINITY_DN141697_c1_g1_i1,313,NA
TRINITY_DN209968_c1_g1_i1,313,Retrovirus-related Pol polyprotein from transposon opus
TRINITY_DN189267_c1_g1_i1,313,NA
TRINITY_DN235679_c0_g1_i1,313,NA
TRINITY_DN287957_c0_g1_i1,313,NA
TRINITY_DN214826_c0_g3_i2,313,NA
TRINITY_DN169040_c0_g1_i1,313,NA
TRINITY_DN258324_c0_g1_i1,313,NA
TRINITY_DN192404_c4_g2_i1,313,NA
TRINITY_DN92444_c0_g1_i1,313,NA
TRINITY_DN287729_c0_g1_i1,313,NA
TRINITY_DN234304_c0_g1_i1,313,NA
TRINITY_DN295003_c0_g1_i1,313,NA
TRINITY_DN159844_c0_g1_i1,313,NA
TRINITY_DN219623_c0_g1_i1,313,NA
TRINITY_DN188407_c5_g2_i1,313,NA
TRINITY_DN188089_c12_g1_i1,313,NA
TRINITY_DN261663_c0_g1_i1,313,NA
TRINITY_DN137432_c0_g1_i1,313,NA
TRINITY_DN294394_c0_g1_i1,313,NA
TRINITY_DN191701_c1_g1_i1,313,LINE-1 retrotransposable element ORF2 protein
TRINITY_DN277643_c0_g1_i1,313,NA
TRINITY_DN207877_c6_g2_i1,313,NA
TRINITY_DN228949_c0_g1_i1,313,NA
TRINITY_DN216641_c0_g2_i1,313,NA
TRINITY_DN245490_c0_g1_i1,313,Bile salt-activated lipase
TRINITY_DN202501_c1_g3_i1,313,Endogenous retrovirus group K member 19 Pol protein
TRINITY_DN117380_c0_g1_i1,313,NA
TRINITY_DN220764_c0_g1_i1,313,NA
TRINITY_DN164883_c1_g1_i1,313,NA
TRINITY_DN207903_c2_g8_i1,313,NA
TRINITY_DN290610_c0_g1_i1,313,NA
TRINITY_DN227655_c0_g1_i1,313,Sulfide dehydrogenase subunit beta
TRINITY_DN235947_c0_g1_i1,313,NA
TRINITY_DN170196_c0_g1_i1,313,Glutamate-pyruvate aminotransferase AlaA
TRINITY_DN234958_c0_g1_i1,313,NA
TRINITY_DN290923_c0_g1_i1,313,NA
TRINITY_DN83717_c0_g1_i1,313,NA
TRINITY_DN189868_c10_g1_i1,313,NA
TRINITY_DN273480_c0_g1_i1,313,NA
TRINITY_DN163021_c0_g1_i1,313,NA
TRINITY_DN186651_c2_g1_i1,313,NA
TRINITY_DN275055_c0_g1_i1,312,NA
TRINITY_DN240380_c0_g1_i1,312,NA
TRINITY_DN277847_c0_g1_i1,312,NA
TRINITY_DN202228_c1_g3_i2,312,Serine/threonine-protein kinase SAPK7
TRINITY_DN298249_c0_g1_i1,312,NA
TRINITY_DN284658_c0_g1_i1,312,NA
TRINITY_DN313123_c0_g1_i1,312,NA
TRINITY_DN224975_c0_g1_i1,312,NA
TRINITY_DN253894_c0_g1_i1,312,NA
TRINITY_DN304122_c0_g1_i1,312,NA
TRINITY_DN221255_c0_g1_i1,312,NA
TRINITY_DN187506_c0_g1_i1,312,LINE-1 retrotransposable element ORF2 protein
TRINITY_DN213990_c0_g1_i1,312,NA
TRINITY_DN17980_c0_g1_i1,312,NA
TRINITY_DN312412_c0_g1_i1,312,NA
TRINITY_DN298867_c0_g1_i1,312,NA
TRINITY_DN193113_c7_g5_i1,312,NA
TRINITY_DN261510_c0_g1_i1,312,NA
TRINITY_DN187637_c0_g1_i1,312,NA
TRINITY_DN249734_c0_g1_i1,312,NA
TRINITY_DN230036_c0_g1_i1,312,NA
TRINITY_DN277694_c0_g1_i1,312,NA
TRINITY_DN254579_c0_g1_i1,312,NA
TRINITY_DN223707_c0_g1_i1,312,NA
TRINITY_DN136950_c0_g1_i1,312,NA
TRINITY_DN235030_c0_g1_i1,312,NA
TRINITY_DN252976_c0_g1_i1,312,NA
TRINITY_DN188830_c10_g1_i1,312,NA
TRINITY_DN192419_c1_g1_i1,312,NA
TRINITY_DN265544_c0_g1_i1,312,NA
TRINITY_DN248852_c0_g1_i1,312,NA
TRINITY_DN290838_c0_g1_i1,312,NA
TRINITY_DN231223_c0_g1_i1,312,NA
TRINITY_DN124219_c0_g1_i1,312,NA
TRINITY_DN310148_c0_g1_i1,312,NA
TRINITY_DN199324_c7_g1_i1,312,LINE-1 retrotransposable element ORF2 protein
TRINITY_DN263460_c0_g1_i1,312,Biotinidase
TRINITY_DN142476_c0_g2_i1,312,NA
TRINITY_DN214677_c0_g4_i1,312,NA
TRINITY_DN194549_c2_g4_i1,312,NA
TRINITY_DN312323_c0_g1_i1,312,NA
TRINITY_DN299171_c0_g1_i1,312,Gag-Pol polyprotein
TRINITY_DN63100_c0_g1_i1,312,NA
TRINITY_DN190531_c9_g1_i1,312,NA
TRINITY_DN220462_c0_g1_i1,312,NA
TRINITY_DN189185_c12_g1_i1,312,NA
TRINITY_DN280847_c0_g1_i1,312,NA
TRINITY_DN60009_c0_g1_i1,312,NA
TRINITY_DN43212_c0_g1_i1,312,NA
TRINITY_DN240070_c0_g1_i1,312,NA
TRINITY_DN187715_c2_g1_i1,312,NA
TRINITY_DN213878_c3_g1_i1,312,NA
TRINITY_DN115027_c0_g1_i1,312,NA
TRINITY_DN258959_c0_g1_i1,312,NA
TRINITY_DN169365_c1_g1_i1,312,NA
TRINITY_DN256543_c0_g1_i1,312,NA
TRINITY_DN282852_c0_g1_i1,312,NA
TRINITY_DN173014_c0_g1_i1,312,NA
TRINITY_DN236033_c0_g1_i1,312,NA
TRINITY_DN254758_c0_g1_i1,312,NA
TRINITY_DN111104_c0_g1_i1,312,NA
TRINITY_DN248558_c0_g1_i1,312,NA
TRINITY_DN277342_c0_g1_i1,312,NA
TRINITY_DN122055_c0_g1_i1,312,NA
TRINITY_DN248065_c0_g1_i1,312,NA
TRINITY_DN275634_c0_g1_i1,312,NA
TRINITY_DN195899_c2_g3_i1,312,Retrovirus-related Pol polyprotein from transposon RE1
TRINITY_DN222564_c0_g1_i1,312,NA
TRINITY_DN245959_c0_g1_i1,312,Putative O-antigen transporter
TRINITY_DN260346_c0_g1_i1,312,NA
TRINITY_DN236159_c0_g1_i1,312,NA
TRINITY_DN251489_c0_g1_i1,312,NA
TRINITY_DN45565_c0_g1_i1,312,Photosystem I P700 chlorophyll a apoprotein A1
TRINITY_DN285025_c0_g1_i1,312,NA
TRINITY_DN272320_c0_g1_i1,312,NA
TRINITY_DN66761_c0_g1_i1,312,NA
TRINITY_DN158375_c0_g1_i1,312,NA
TRINITY_DN301053_c0_g1_i1,312,NA
TRINITY_DN184234_c0_g1_i1,312,Lysylphosphatidylglycerol biosynthesis bifunctional protein LysX
TRINITY_DN258934_c0_g1_i1,312,NA
TRINITY_DN286103_c0_g1_i1,312,NA
TRINITY_DN227928_c0_g1_i1,312,NA
TRINITY_DN144001_c0_g1_i1,312,NA
TRINITY_DN176442_c0_g3_i1,312,NA
TRINITY_DN204961_c4_g5_i1,312,NA
TRINITY_DN278875_c0_g1_i1,312,Glutamine-rich protein 1
TRINITY_DN280012_c0_g1_i1,312,NA
TRINITY_DN189157_c5_g1_i1,312,NA
TRINITY_DN300775_c0_g1_i1,312,NA
TRINITY_DN303325_c0_g1_i1,312,NA
TRINITY_DN291499_c0_g1_i1,312,NA
TRINITY_DN59141_c0_g1_i1,312,NA
TRINITY_DN14689_c0_g1_i1,312,NA
TRINITY_DN60653_c0_g1_i1,312,NA
TRINITY_DN177440_c0_g2_i1,312,Anthranilate synthase component 1
TRINITY_DN89257_c0_g1_i1,312,NA
TRINITY_DN197531_c0_g8_i1,312,Replication protein A 70 kDa DNA-binding subunit C
TRINITY_DN144249_c0_g1_i1,312,NA
TRINITY_DN190292_c14_g1_i1,312,NA
TRINITY_DN188966_c7_g2_i1,312,NA
TRINITY_DN293752_c0_g1_i1,312,NA
TRINITY_DN255820_c0_g1_i1,312,NA
TRINITY_DN286698_c0_g1_i1,312,NA
TRINITY_DN253802_c0_g1_i1,311,NA
TRINITY_DN232204_c0_g1_i1,311,NA
TRINITY_DN129084_c0_g1_i1,311,NA
TRINITY_DN77363_c0_g1_i1,311,NA
TRINITY_DN287054_c0_g1_i1,311,NA
TRINITY_DN306896_c0_g1_i1,311,NA
TRINITY_DN255000_c0_g1_i1,311,NA
TRINITY_DN223330_c0_g1_i1,311,NA
TRINITY_DN309055_c0_g1_i1,311,NA
TRINITY_DN301320_c0_g1_i1,311,NA
TRINITY_DN214975_c0_g2_i1,311,NA
TRINITY_DN268244_c0_g1_i1,311,NA
TRINITY_DN201396_c7_g1_i1,311,LINE-1 retrotransposable element ORF2 protein
TRINITY_DN303934_c0_g1_i1,311,NA
TRINITY_DN257495_c0_g1_i1,311,NA
TRINITY_DN188485_c8_g1_i1,311,LINE-1 retrotransposable element ORF2 protein
TRINITY_DN230586_c0_g1_i1,311,NA
TRINITY_DN283179_c0_g1_i1,311,NA
TRINITY_DN203790_c0_g1_i1,311,NA
TRINITY_DN188186_c16_g1_i1,311,NA
TRINITY_DN290553_c0_g1_i1,311,NA
TRINITY_DN250228_c0_g1_i1,311,NA
TRINITY_DN214964_c0_g3_i1,311,NA
TRINITY_DN193985_c1_g1_i1,311,Glyceraldehyde-3-phosphate dehydrogenase 2
TRINITY_DN267512_c0_g1_i1,311,NA
TRINITY_DN215799_c0_g1_i1,311,NA
TRINITY_DN302734_c0_g1_i1,311,NA
TRINITY_DN74925_c0_g1_i1,311,NA
TRINITY_DN297694_c0_g1_i1,311,NA
TRINITY_DN261174_c0_g1_i1,311,NA
TRINITY_DN193295_c2_g1_i1,311,NA
TRINITY_DN217733_c1_g3_i1,311,NA
TRINITY_DN214531_c2_g1_i1,311,NA
TRINITY_DN271628_c0_g1_i1,311,NA
TRINITY_DN189515_c4_g1_i1,311,NA
TRINITY_DN189576_c10_g1_i1,311,NA
TRINITY_DN310232_c0_g1_i1,311,Pseudomonalisin
TRINITY_DN238935_c0_g1_i1,311,NA
TRINITY_DN299804_c0_g1_i1,311,Polyamine aminopropyltransferase
TRINITY_DN257470_c0_g1_i1,311,NA
TRINITY_DN26634_c0_g1_i1,311,NA
TRINITY_DN204592_c3_g2_i1,311,NA
TRINITY_DN284394_c0_g1_i1,311,NA
TRINITY_DN192018_c2_g1_i1,311,NA
TRINITY_DN253335_c0_g1_i1,311,NA
TRINITY_DN244278_c0_g1_i1,311,NA
TRINITY_DN235357_c0_g1_i1,311,NA
TRINITY_DN95810_c0_g1_i1,311,NA
TRINITY_DN298197_c0_g1_i1,311,NA
TRINITY_DN258193_c0_g1_i1,311,NA
TRINITY_DN40450_c0_g1_i1,311,NA
TRINITY_DN131672_c0_g1_i1,311,Neutral endopeptidase
TRINITY_DN200803_c1_g3_i1,311,Elongation factor 1-alpha
TRINITY_DN312915_c0_g1_i1,311,NA
TRINITY_DN229362_c0_g1_i1,311,NA
TRINITY_DN23766_c0_g1_i1,311,NA
TRINITY_DN3079_c0_g1_i1,311,NA
TRINITY_DN200857_c1_g1_i1,311,Endogenous retrovirus group K member 113 Pol protein
TRINITY_DN236004_c0_g1_i1,311,NA
TRINITY_DN14351_c0_g1_i1,311,NA
TRINITY_DN194615_c14_g1_i1,311,NA
TRINITY_DN106169_c0_g1_i1,311,Probable fimbrial chaperone YehC
TRINITY_DN103193_c0_g1_i1,311,NA
TRINITY_DN271098_c0_g1_i1,311,NA
TRINITY_DN213155_c0_g1_i1,311,NA
TRINITY_DN65944_c0_g1_i1,311,NA
TRINITY_DN189929_c13_g1_i1,311,NA
TRINITY_DN194155_c0_g2_i1,311,NA
TRINITY_DN274649_c0_g1_i1,311,NA
TRINITY_DN294662_c0_g1_i1,311,NA
TRINITY_DN67490_c0_g1_i1,311,NA
TRINITY_DN220953_c0_g1_i1,311,NA
TRINITY_DN37954_c0_g1_i1,311,NA
TRINITY_DN155250_c0_g1_i1,311,NA
TRINITY_DN102270_c0_g1_i1,311,NA
TRINITY_DN243820_c0_g1_i1,311,NA
TRINITY_DN226167_c0_g1_i1,311,NA
TRINITY_DN265831_c0_g1_i1,311,NA
TRINITY_DN175910_c1_g1_i1,311,NA
TRINITY_DN269374_c0_g1_i1,311,NA
TRINITY_DN193275_c2_g2_i1,311,LINE-1 retrotransposable element ORF2 protein
TRINITY_DN199040_c6_g1_i1,311,NA
TRINITY_DN116550_c0_g1_i1,311,Penicillin-binding protein 1A/1B
TRINITY_DN262888_c0_g1_i1,311,NA
TRINITY_DN191589_c14_g1_i1,311,Cytosolic carboxypeptidase 3
TRINITY_DN256004_c0_g1_i1,311,NA
TRINITY_DN215268_c0_g1_i1,311,60S ribosomal protein L4-B
TRINITY_DN277750_c0_g1_i1,311,NA
TRINITY_DN269688_c0_g1_i1,311,NA
TRINITY_DN189561_c7_g1_i1,311,LINE-1 retrotransposable element ORF2 protein
TRINITY_DN51012_c0_g1_i1,311,NA
TRINITY_DN254070_c0_g1_i1,311,NA
TRINITY_DN309166_c0_g1_i1,311,NA
TRINITY_DN232173_c0_g1_i1,311,NA
TRINITY_DN204311_c1_g3_i1,311,NA
TRINITY_DN4916_c0_g1_i1,311,NA
TRINITY_DN277487_c0_g1_i1,311,NA
TRINITY_DN309398_c0_g1_i1,311,NA
TRINITY_DN295376_c0_g1_i1,311,NA
TRINITY_DN193056_c9_g1_i1,311,LINE-1 retrotransposable element ORF2 protein
TRINITY_DN232938_c0_g1_i1,311,NA
TRINITY_DN180426_c2_g1_i1,311,NA
TRINITY_DN313282_c0_g1_i1,311,NA
TRINITY_DN200431_c3_g4_i1,311,NA
TRINITY_DN241201_c0_g1_i1,311,NA
TRINITY_DN275873_c0_g1_i1,311,NA
TRINITY_DN254140_c0_g1_i1,311,NA
TRINITY_DN198474_c2_g2_i1,311,NA
TRINITY_DN3362_c0_g1_i1,311,NA
TRINITY_DN246997_c0_g1_i1,311,NA
TRINITY_DN189112_c16_g1_i1,311,NA
TRINITY_DN313985_c0_g1_i1,310,NA
TRINITY_DN212388_c1_g3_i1,310,NA
TRINITY_DN292759_c0_g1_i1,310,NA
TRINITY_DN198428_c1_g3_i1,310,NA
TRINITY_DN193956_c5_g1_i1,310,NA
TRINITY_DN171663_c0_g1_i1,310,Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex
TRINITY_DN143956_c0_g1_i1,310,NA
TRINITY_DN236482_c0_g1_i1,310,Nicotinate hydroxylase hnxS
TRINITY_DN212697_c0_g1_i1,310,NA
TRINITY_DN196102_c5_g1_i1,310,LINE-1 retrotransposable element ORF2 protein
TRINITY_DN242035_c0_g1_i1,310,Myeloid cell nuclear differentiation antigen
TRINITY_DN302096_c0_g1_i1,310,NA
TRINITY_DN253369_c0_g1_i1,310,NA
TRINITY_DN304633_c0_g1_i1,310,NA
TRINITY_DN215526_c0_g6_i1,310,NA
TRINITY_DN250030_c0_g1_i1,310,NA
TRINITY_DN178344_c0_g2_i1,310,2-isopropylmalate synthase
TRINITY_DN247416_c0_g1_i1,310,NA
TRINITY_DN247219_c0_g1_i1,310,LINE-1 reverse transcriptase homolog
TRINITY_DN194774_c1_g2_i1,310,NA
TRINITY_DN230799_c0_g1_i1,310,NA
TRINITY_DN279429_c0_g1_i1,310,NA
TRINITY_DN295564_c0_g1_i1,310,NA
TRINITY_DN39321_c0_g1_i1,310,NA
TRINITY_DN194473_c4_g1_i1,310,LINE-1 retrotransposable element ORF2 protein
TRINITY_DN234836_c0_g1_i1,310,NA
TRINITY_DN310015_c0_g1_i1,310,NA
TRINITY_DN65956_c0_g1_i1,310,NA
TRINITY_DN11250_c0_g1_i1,310,NA
TRINITY_DN208430_c16_g1_i1,310,NA
TRINITY_DN95672_c0_g1_i1,310,NA
TRINITY_DN194262_c8_g2_i1,310,LINE-1 retrotransposable element ORF2 protein
TRINITY_DN89021_c0_g1_i1,310,Syncytin-2
TRINITY_DN191201_c9_g1_i1,310,NA
TRINITY_DN38614_c0_g1_i1,310,MDIS1-interacting receptor like kinase 2
TRINITY_DN213568_c1_g1_i1,310,NA
TRINITY_DN142762_c0_g1_i1,310,NA
TRINITY_DN252741_c0_g1_i1,310,NA
TRINITY_DN304224_c0_g1_i1,310,NA
TRINITY_DN271212_c0_g1_i1,310,NA
TRINITY_DN268406_c0_g1_i1,310,NA
TRINITY_DN6636_c0_g1_i1,310,NA
TRINITY_DN213923_c1_g3_i1,310,NA
TRINITY_DN300625_c0_g1_i1,310,NA
TRINITY_DN197854_c0_g2_i1,310,NA
TRINITY_DN160307_c0_g2_i1,310,NA
TRINITY_DN227851_c0_g1_i1,310,NA
TRINITY_DN289907_c0_g1_i1,310,NA
TRINITY_DN193743_c0_g4_i1,310,Transcription factor MYB96
TRINITY_DN184152_c0_g1_i1,310,NA
TRINITY_DN114914_c0_g1_i1,310,NA
TRINITY_DN142322_c1_g1_i1,310,NA
TRINITY_DN14561_c0_g1_i1,310,Protein DBF4 homolog B
TRINITY_DN307376_c0_g1_i1,310,NA
TRINITY_DN189576_c9_g2_i1,310,NA
TRINITY_DN239862_c0_g1_i1,310,NA
TRINITY_DN252407_c0_g1_i1,310,NA
TRINITY_DN220380_c0_g1_i1,310,NA
TRINITY_DN248939_c0_g1_i1,310,NA
TRINITY_DN231936_c0_g1_i1,310,NA
TRINITY_DN305144_c0_g1_i1,310,NA
TRINITY_DN223075_c0_g1_i1,310,NA
TRINITY_DN176127_c0_g1_i1,310,NA
TRINITY_DN290823_c0_g1_i1,310,Insertion element IS630 uncharacterized 39 kDa protein
TRINITY_DN116605_c0_g1_i1,310,NA
TRINITY_DN221187_c0_g1_i1,310,NA
TRINITY_DN190242_c10_g2_i1,310,Zinc finger protein ENSP00000375192
TRINITY_DN158868_c0_g1_i1,310,Phosphate regulon transcriptional regulatory protein PhoB
TRINITY_DN27583_c0_g1_i1,310,NA
TRINITY_DN244077_c0_g1_i1,310,NA
TRINITY_DN221862_c0_g1_i1,310,NA
TRINITY_DN237928_c0_g1_i1,310,NA
TRINITY_DN192958_c3_g2_i1,310,"Keratin, type I cytoskeletal 18"
TRINITY_DN193157_c3_g1_i1,310,NA
TRINITY_DN308803_c0_g1_i1,310,NA
TRINITY_DN225179_c0_g1_i1,310,NA
TRINITY_DN198485_c0_g2_i1,310,NA
TRINITY_DN116511_c0_g1_i1,310,NA
TRINITY_DN262284_c0_g1_i1,310,NA
TRINITY_DN29211_c0_g1_i1,310,ATP-binding cassette sub-family G member 2
TRINITY_DN125778_c0_g1_i1,310,NA
TRINITY_DN34802_c0_g1_i1,310,NA
TRINITY_DN81335_c0_g1_i1,310,NA
TRINITY_DN308452_c0_g1_i1,310,NA
TRINITY_DN249990_c0_g1_i1,310,NA
TRINITY_DN124259_c0_g1_i1,310,NA
TRINITY_DN185224_c2_g1_i1,310,NA
TRINITY_DN201146_c1_g2_i1,310,NA
TRINITY_DN190355_c15_g2_i1,310,NA
TRINITY_DN293105_c0_g1_i1,310,Olfactory receptor 11H6
